character,characterSymbol,characterName,escapeSequence,controlEscapeSequence,characterUse,impactedByCaseInsensitiveOrder,characterForCaseInsensitiveOrder_UTF8_base16,impactedByAccentInsensitiveOrder,characterForAccentInsensitiveOrder_UTF8_base16,isUnicodeCharacterSet,UTF16_base10,UTF16_base16,uPlus4HexDigits,UTF8_base10,UTF8_base16,UTF8_base16_Byte1,UTF8_Byte1_in_CP1252_base16,UTF8_base16_Byte2,UTF8_Byte2_in_CP1252_base16,UTF8_base16_Byte3,UTF8_Byte3_in_CP1252_base16,UTF8_base16_Byte4,UTF8_Byte4_in_CP1252_base16,UTF8_base16_ByteCount,unicodeDecimalNumberBadConvert,UTF8_to_UTF16_base16_decomp,UTF8_to_CP1252_base16_decomp,UTF8_to_CP1252_base16_decomp_addsChar,similarCharacter_UTF8_base10,isAsciiCharacterSet,ASCII_base10,asciiIndexNotAssigned,ASCII_base8,ASCII_base16,ASCII_base2,isCP1252CharacterSet,CP1252_base10,cp1252IndexNotAssigned,CP1252_base16,CP1252_in_UTF8_base16,isISO_8859_1CharacterSet,ISO_8859_1_base10,ISO_8859_1_base16,isEBCDICCharacterSet,EBCDIC_base10,EBCDIC_base16,isHTMLCharacterSet,HTML_base10,HTML_base16,HTML_name,printLength,isMirrored,isLetter,isLowerCaseLetter,isLetterModifier,isNumber,isPunctuation,isSymbol,isMathSymbol,isPrintable,isControl,isEnglish,isChinese,isCurrency,isWhiteSpace,isAsciiHexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Byte1,isCP1252HexInUnicodeUTF8Byte2,isCP1252HexInUnicodeUTF8Byte3,isCP1252HexInUnicodeUTF8Byte4,isUTF8_UTF16_equal,IsIndexMatchForCharacter,descLink,imgLink,keyboardKeys
▓,,Dark Shade,,,,,,,,1,9619,,,,0xE2 0x96 0x93 ,0xE2,1,0x96,0,0x93,0,,0,6,,,0xE2,0,,0,178,,,0xB2,,0,,,,0,,,,,,,,,,,,,0,,,0,0,,,1,0,0,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2593/index.htm;https://www.codetable.net/decimal/9619,
õ,,LATIN CAPITAL LETTER O WITH TILDE,,,,1,,,,1,245,0xF5,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,245,,0xF5,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00F5/index.htm,
÷,,DIVISION SIGN,,,,,,,,1,246,,,,0xc3 0xb7   ,0xc3 0xb7,0,,0,,0,,0,4,,,,0,,0,,,,0xF6,,1,247,,0xF7,0,,,,,,,,,,,,,0,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c3 00b7/index.htm,
°,,DEGREE SIGN,,,,,,,,1,248,,,,0xc2 0xb0   ,0xc2 0xb0,0,,0,,0,,0,4,,,,0,,0,,,,0xF8,,1,176,,0xB0,0,,,,,,,,,,,,,0,,,0,,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c2 00b0/index.htm,
·,,MIDDLE DOT; interpunct; interpoint; middot; centered dot; centred dot,,,,,,,,1,250,,,,0xc2 0xb7   ,0xc2 0xb7,0,,0,,0,,0,4,,,,0,,0,,,,0xFA,,1,183,,0xB7,0,,,,,,,,,,,,,0,,,0,1,,,1,0,,,,0,0,0,0,0,0,0,,,https://en.wikipedia.org/wiki/Interpunct,https://www.fileformat.info/info/unicode/char/00c2 00b7/index.htm,
│,,BOX DRAWINGS LIGHT VERTICAL,,,,,,,,1,9474,,,,0xE2 0x94 0x82 ,0xE2,1,0x94,0,0x82,0,,0,6,,,0xE2,0,,0,179,,,0xB3,,0,,,,0,,,,,,,,,,,,,0,,,0,0,,,1,0,0,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/2502/index.htm;https://www.codetable.net/decimal/9474,
ü,,latin small letter u with umlaut/diaeresis,,,,0,,,,1,252,,,,0xc3 0x9c   ,0xc3 0x9c,0,,0,,0,,0,4,,,,0,,0,,,,0x81,,1,252,,0xFC,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c3 009c/index.htm,
ý,,LATIN CAPITAL LETTER Y WITH ACUTE,,,,1,,,,1,253,0xFD,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,253,,0xFD,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00FD/index.htm,
þ,,LATIN CAPITAL LETTER THORN,,,,1,,,,1,254,0xFE,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,254,,0xFE,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00FE/index.htm,
Œ,,LATIN CAPITAL LIGATURE OE,,,,1,,,,1,338,0x152,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,140,,0x8C,0,,,,,,,,,,,,,1,,,0,0,,,1,0,0,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/0152/index.htm,
